ENGAGEMENT,PHASE,CATEGORIE,CATEGORIE_SEXE,CLUB_NOM,CLUB_NUMERO,TYPE_EQUIPE,ENTENTE,ENTENTE_CONVENTION,CTC_NOM,CTC_NUMERO,EQUIPE_NUMERO,NIVEAU,ENGAGEMENT_CHAMPIONNAT,MONTANT_CHAMPIONNAT,ENGAGEMENT_COUPE,MONTANT_COUPE,ENGAGEMENT_CHALLENGE,MONTANT_CHALLENGE,MONTANT_TOTAL,ENTRAINEUR_NOM,ENTRAINEUR_PRENOM,ENTRAINEUR_LICENCE,ENTRAINEUR_EMAIL,PACTE_NOM,PACTE_PRENOM,COMMENTAIRE,VERIFIE,DATE_VERIFIE,STATUT_NIVEAU
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ANGERS ALJF,PDL0049006,Club,,,,,2,D3,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,AVRILLE BASKET,PDL0049012,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,BRISSAC AUBANCE BASKET,PDL0049024,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHAMPIGNE,PDL0049033,Club,,,,,3,D3,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,DENEE MOZE,PDL0049053,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ETRICHE BASKET,PDL0049055,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ELAN DES MAUGES,PDL0049067,Club,,,,,2,D3,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ETOILE ANGERS BASKET,PDL0049095,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ETOILE ANGERS BASKET,PDL0049095,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CANDE LOIRE BASKET,PDL0049077,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT MARTIN DU BOIS,PDL0049110,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,MURS ERIGNE BASKET,PDL0049082,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,TOURMELAY,PDL0049128,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,AVENIR TREMENTINES,PDL0049131,Club,,,,,2,D3,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,DOUE LA FONTAINE,PDL0049054,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ETOILE ANGERS BASKET,PDL0049095,Coopération Territoriale Club,,,CTC LOIRE ET PLAINE BASKET​,PDL0049139,1,D3,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT CHRISTOPHE DU BOIS - ESSOR CHRISTOPHORIEN BASKET,PDL0049097,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ROSIERS,PDL0049149,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,FENEU - REBOND FANOUIN,PDL0049198,Club,,,,,1,D3,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,YZERNAY,PDL0049138,Club,,,,,8,D3,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ETOILE ANGERS BASKET,PDL0049095,Coopération Territoriale Club,,,CTC LOIRE ET PLAINE BASKET​,PDL0049139,2,D3,1,,,,,,,,,,,,,,,,=
