ENGAGEMENT,PHASE,CATEGORIE,CATEGORIE_SEXE,CLUB_NOM,CLUB_NUMERO,TYPE_EQUIPE,ENTENTE,ENTENTE_CONVENTION,CTC_NOM,CTC_NUMERO,EQUIPE_NUMERO,NIVEAU,ENGAGEMENT_CHAMPIONNAT,MONTANT_CHAMPIONNAT,ENGAGEMENT_COUPE,MONTANT_COUPE,ENGAGEMENT_CHALLENGE,MONTANT_CHALLENGE,MONTANT_TOTAL,ENTRAINEUR_NOM,ENTRAINEUR_PRENOM,ENTRAINEUR_LICENCE,ENTRAINEUR_EMAIL,PACTE_NOM,PACTE_PRENOM,COMMENTAIRE,VERIFIE,DATE_VERIFIE,STATUT_NIVEAU
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,AUTHION ENTENTE BASKET,PDL0049002,Club,,,,,2,D4,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,OMBREE D'ANJOU BASKET,PDL0049010,Club,,,,,1,D4,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,BEAUPREAU FIEF SAUVIN BASKET,PDL0049016,Club,,,,,1,D4,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,VERNANTES BASKET LOISIR,PDL0049029,Club,,,,,3,D4,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHEMILLE,PDL0049041,Club,,,,,1,D4,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,JUMELLIERE,PDL0049066,Club,,,,,1,D4,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,MONTREUIL BELLAY,PDL0049079,Club,,,,,2,D4,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,NEUVY EN MAUGES,PDL0049061,Club,,,,,1,D4,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,POUEZE,PDL0049091,Club,,,,,1,D4,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT LAURENT DE LA PLAINE,PDL0049108,Club,,,,,1,D4,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,MOINE BASKET,PDL0049113,Club,,,,,1,D4,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAUMUR LOIRE BASKET,PDL0049116,Club,,,,,2,D4,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SEICHES BASKET,PDL0049121,Club,,,,,1,D4,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,TRELAZE BASKET,PDL0049130,Coopération Territoriale Club,,,CTC TERRE DE LAYON​,PDL0049133,1,D4,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT CHRISTOPHE DU BOIS - ESSOR CHRISTOPHORIEN BASKET,PDL0049097,Club,,,,,1,D4,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT AUGUSTIN DES BOIS,PDL0049147,Club,,,,,1,D4,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,DOUE LA FONTAINE,PDL0049054,Club,,,,,1,D4,4,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ETOILE ANGERS BASKET,PDL0049095,Club,,,,,8,D4,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT AUGUSTIN DES BOIS,PDL0049147,Coopération Territoriale Club,,,CTC TERRE DE LAYON​,PDL0049133,2,D4,1,,,,,,,,,,,,,,,,=
