cd_org,lb_org,adresse,adresse_complement,lb_cmne,code_postal,lb_type_association
PDL0049085,PLESSIS GRAMMOIRE,MAIRIE DU PLESSIS,,PLESSIS-GRAMMOIRE,49124,Club 
PDL0049086,CTC LES MAUGES,,,CHOLET,49300,Coopération Territoriale Club 
PDL0049087,POMJEANNAIS BASKET CLUB,MAIRIE,56 RUE DE LA LOIRE,MAUGES SUR LOIRE,49620,Club 
PDL0049088,PONTS DE CE BASKET,RUE DE LA MAIRIE,COMPLEXE FRANCOIS BERNARD,PONTS-DE-CE,49130,Club 
PDL0049091,POUEZE,RUE DE LA MAIRIE,,POUEZE,49370,Club 
PDL0049093,PUY SAINT BONNET BASKET,PUY ST BONNET,11 SQUARE DE MARIGNY,LE PUY-SAINT-BONNET,49300,Club 
PDL0049095,ETOILE ANGERS BASKET,330 rue Saint Léonard,,ANGERS,49000,Club 
PDL0049096,ROUSSAY VILLEDIEU,15 RUE DE LA FONTAINE,MAIRIE ANNEXE,ROUSSAY,49450,Club 
PDL0049097,SAINT CHRISTOPHE DU BOIS,31 RUE MARECHAL LECLERC,,SAINT-CHRISTOPHE-DU-BOIS,49280,Club 
PDL0049100,SAINTE GEMMES D'ANDIGNE,SAINTE GEMMES D'ANDIGNE,SAINTE GEMMES D'ANDIGNE,SEGRE-EN-ANJOU-BLEU,49500,Club 
PDL0049104,VIHIERS BASKET,VIHIERS,,LYS-HAUT-LAYON,49310,Club 
PDL0049108,SAINT LAURENT DE LA PLAINE,CITE DE L'AVENEAU,,SAINT-LAURENT-DE-LA-PLAINE,49290,Club 
PDL0049109,LAYON BASKET CLUB,place de la mairie,MAIRIE DE THOUARCE,BELLEVIGNE EN LAYON,49380,Club 
PDL0049110,SAINT MARTIN DU BOIS USJA,MAIRIE DE ST MARTIN DU BOIS,,SAINT-MARTIN-DU-BOIS,49500,Club 
PDL0049111,SAINT MATHURIN SAINT REMY,MAIRIE DE ST MATHURIN SUR LOIRE,,BEAUFORT-EN-VALLEE,49250,Club 
PDL0049112,CERQUEUX SOMLOIRE ST PAUL LA PLAINE,MAIRIE,4 RUE DU VIEUX LOGIS,LES CERQUEUX,49360,Club 
PDL0049113,MOINE BASKET CLUB,rue DE LA MAIRIE,Mairie déléguée,SAINT-GERMAIN-SUR-MOINE,49230,Club 
PDL0049114,FUILETAIS REMYGEOIS BASKET,ST REMY EN MAUGES,CHEMIN DE ST JACQUES,SAINT-REMY-EN-MAUGES,49110,Club 
PDL0049115,ELAN LIGERIEN BASKET,31 Rue de la Mairie,,POSSONNIERE,49170,Club 
PDL0049116,SAUMUR LOIRE BASKET 49,GUY DOUSSARD- BAGNEUX,SALLE DES HAUTS SENTIERS,SAUMUR,49400,Club 
PDL0049117,VALLEE BASKET CLUB,27 rue des Seillandières,,BEAUFORT-EN-VALLEE,49250,Club 
PDL0049119,SEGRE,Route de Pouancé,Complexe sportif Bernard Madiot,SEGRE-EN-ANJOU-BLEU,49500,Club 
PDL0049120,SEGUINIERE (LA) ST LOUIS BASKET,15 AVENUE CHARLES DE GAULLE,,SEGUINIERE,49280,Club 
